Tag	en	it	de	nl	fi	br	pl	da	tr	fr	es	sl
CMESSAGE_HEADLINE_RACEWINNER_9	Awesome $item1 takes maximum points in $item2!	Grandioso $item1 che guadagna il massimo dei punti in $item2!	Großartiger $item1 nimmt in $item2 die maximalen Punkte mit!	Fantastische $item1 neemt volle buit mee uit $item2!	Mieletön $item1 ottaa täydet pisteet $item2ssa!	Incrível $item1 ganhou o máximo de pontos em $item2!	Niesamowity $item1 zbiera maksimum punktów w $item2!	Brilliante $item1 tager maksimum point i $item2!	"""Muhtesem $item1, $item2deki en fazla puani aldi!"""	Un génial $item1 prend le maximum de points à $item2!	Increible $item1 gana el máximo de puntos en $item2!	Odlični $item1 pobral največ točk na dirkališču $item2!
CMESSAGE_INTERNETCONNECTION	Unable to connect to the internet. Please check your internet connection and make sure your firewall is not blocking New Star GP.	Impossibile connettersi ad internet. Controlla la tua connessione e assicurati che un firewall non stia bloccando New Star GP.	Kann keine Verbindung zum Internet aufbauen. Bitte überprüfe deine Internetverbindung und stelle sicher; dass New Star Grand Prix nicht von deiner Firewall blockiert wird..	Kan geen verbinding maken met het internet. Controleer of je met het internet verbonden bent en ga na of je firewall New Star GP niet blokkeert.	Ei voida yhdistää internettiin. Ole hyvä ja tarkasta internetyhteytesi ja tarkista ettei palomuurisi estä New Star GP'tä.	Não foi possível conectar com a internet. Por favor verifique sua conexão à internet e que seu firewall não está bloqueando New Star GP.	Nie można połączyć się z internetem. Sprawdź swoje połączenie i upewnij się że firewall nie blokuje New Star GP.	Kan ikke forbinde til internettet. Kontroller venligst din internetforbindelse og at din firewall ikke blokerer for New Star GP.	Internete baglanilamiyor. Lütfen internet baglantinizi kontrol edin ve güvenlik programinizin New Star Grand Prix'i engellemediginden emin olun.	Impossible de se connecter à Internet. SVP vérifiez votre connection et assurez-vous que votre Firewall ne bloque pas l'accès à New Star GP	No se puede conectar a Internet. Por favor; compruebe su conexión a Internet y asegúrese de que su firewall no bloquee New Star GP.	Ne morem se povezati na splet. Preveri povezavo do spleta in nastavitve požarnega zidu.
CMESSAGE_INVALIDNAME	You cannot use this name. Please use your own name.	Non puoi usare questo nome. Usa il tuo nome	Du kannst diesen Namen nicht verwenden. Bitte nutze deinen eigenen Namen.	Je mag deze naam niet gebruiken. Gebruik aub je eigen naam.	Et voi käyttää tätä nimeä. Ole hyvä ja käytä omaa nimeäsi.	Você não pode usar este nome. Por favor use seu próprio nome.	Nie możesz tego nazwiska. Wpisz swoje własne.	Du kan ikke bruge dette navn. Brug venligst dit eget navn.	Bu ismi kullanamazsiniz. Lutfen kendi isminizi kullanin.	Vous ne pouvez pas utiliser ce nom. SVP utilisez votre propre nom.	Usted no puede utilizar este nombre. Por favor; utilice su propio nombre.	Tega imena ne moreš uporabiti. Vpiši svoje lastno ime.
CMESSAGE_LEADERBOARDCONNECTION	Unable to connect to the online leaderboards. Please make sure you are connected to the internet and that your firewall is not blocking New Star GP. Do you wish to disable the online leaderboards for this game session?	Impossibile connettersi alle classifiche online. Assicurati di essere connesso e che un firewall non stia bloccando New Star GP. Vuoi disabilitare le classifiche online per questa sessione di gioco?	Verbinden mit den Online-Ranglisten fehlgeschlagen. Bitte stelle sicher; dass du mit dem Internet verbunden bist und New Star Grand Prix nicht von deiner Firewall blockiert wird. Möchtest du die Online-Ranglisten für diese Sitzung ausschalten?	Kan geen verbinding maken met de online klassementen. Controleer of je met het internet verbonden bent en ga na of je firewall New Star GP niet blokkeert. Wil je de online klassementen uitschakelen tijdens deze sessie?	Ei voidä yhdistää online-johtajatauluun. Ole hyvä ja tarkista oletko yhdistänyt internetin ja ettei palomuuri estä New Star GP'tä. Haluaisitko poistaa online-johtajataulun tämän pelisession vuoksi.	Não foi possível conectar à tabela online. Por favor verifique sua conexão à internet e certifique-se que seu firewall não está bloqueando New Star GP. Você gostaria de desabilitar a tabela online para esta seção?	Nie można połączyć się z internetową listą najlepszych kierowców. Sprawdź swoje połączenie z internetem oraz upewnij się czy firewall nie blokuje New Star GP. Chcesz wyłączyć internetową listę najlepszych kierowców dla tej sesji?	Kan ikke forbinde til online-stillingerne. Kontroller venligst at du er online og at din firewall ikke blokerer for New Star GP. Vil du deaktivere online-stillingerne for denne gang?	Çevrimici en iyiler listesine baglanilamiyor. Lütfen internet baglantinizi kontrol edin ve güvenlik programinizin New Star Grand Prix'i engellemediginden emin olun. Bu oyun oturumu icin cevrimici en iyiler listesini devre disi birakmak ister misniz?	 Impossible de se connecter aux classements en ligne. SVP Assurez-vous que vous êtes connecté à Internet et que votre Firewall ne bloque pas l'accès à New Star GP. Voulez-vous désactiver les classements en ligne pour cette partie ?	No se puede conectar a las tablas de clasificación online. Por favor; asegúrese de que está conectado a Internet y que el firewall no bloquea el New Star GP. ¿Desea desactivar la tablas de clasificación online para este período de sesiones de juego?	Spletne lestvice niso dosegljive. Preveri povezavo do spleta in nastavitve pozarnega zidu. Želis za to igro onemogočiti povezovanje na splet?
CMESSAGE_LEADERBOARDDISABLED1	Leaderboards disabled	Classifiche disabilitate.	Ranglisten deaktiviert	Online klassementen uitgeschakeld	Johtajataulu poistettu käytöstä	Tabela online desabilitada	Internetowa lista najlepszych kierowców wyłączona.	Stillingerne deaktiveret.	En iyiler listesi devre disi birakildi.	Classements désactivés	Líderes deshabilitados	Lestvica onemogočena
CMESSAGE_LEADERBOARDDISABLED2	Leaderboards disabled. To re-enable click the Refresh button.	Classifiche disabilitate. Per riattivarle clicca sul pulsante Ricarica.	Ranglisten deaktiviert. Klicke auf den Button Aktualisieren; um sie wieder einzuschalten.	Online klassementen uitgeschakeld. Druk op de refresh knop om weer in te schakelen.	Johtajataulu poistettu käytöstä. Ottaaksesi sen uudestaan käyttöön; paina Päivitä-nappia.	Leaderboards disabled. To re-enable click the Refresh button.	Internetowa lista najlepszych kierowców wyłączona. Aby ją włączyć wciśnij przycisk Odśwież.	Stillingerne deaktiveret. Klik på opdater for at aktivere igen.	En iyiler listesi devre disi birakildi. Yeniden etkinlesirmek icin Yenile dügmesini tiklatin.	Classements désactivés. Pour les réactiver cliquer le bouton Rafraîchir	Líderes deshabilitados. Para volver a habilitar; haga clic en el botón Actualizar.	Lestvica onemogočena. Klikni na gumb za osvežitev
CMESSAGE_LEADERBOARDNOTSUBMITTED	Could not submit time. Please make sure you are using the latest version of New Star GP.	Non puoi registrare il tempo.	Zeit nicht übermittelt.	Kon je tijd niet doorsturen.	Ei voida lähettää aikaa.	Não foi possível enviar o tempo.	Nie można przesłać czasu.	Kunne ikke afsende tid.	Zamanlama gönderilemiyor. Lütfen New Star Grand Prix'in son sürümünü kullandiginizdan emin olun.	Ne peut pas envoyer le temps.	No se pudo enviar el tiempo.	Ne morem poslati najboljšega časa.
CMESSAGE_LEADERBOARDSUBMITTED	Your time has been submitted to the online leaderboard.	Il tuo tempo è stato registrato nella classifica online.	Deine Zeit wurde in die Online-Ranglisten eingetragen.	Je tijd werd doorgestuurd naar het online klassement.	Aikasi on lähetetty online-johtajataululle.	Seu tempo foi enviado à tabela online.	Twój czas został wysłany do internetowej listy najlepszych kierowców.	Din tid er blevet afsendt til online-stillingen.	Zamaniniz çevrimici en iyiler listesine gönderildi.	Votre temps a été envoyé au classement en ligne.	Su tiempo se ha enviado a la clasificación en línea.	Vaš čas je bil uvrščen na spletno lestvico.
CMESSAGE_LEADERBOARDUNREGISTERED	You must be registered to submit laptimes to the online leaderboard.	Devi essere registrato per registrare i tuoi tempi nella classifica online.	Du musst registriert sein; um Zeiten in die Online-Ranglisten eintragen zu können.	Je moet een geregistreerd exemplaar hebben om tijden te kunnen doorsturen.	Sinun täytyy olla rekisteröitynyt lähettääksesi kierrosaikoja online-johtajataululle.	Você precisa estar registrado para enviar tempos à tabela online.	Musisz się zarejestrować aby przesyłać czasy okrążeń na internetową listę kierowców.	Du skal være registreret for at afsende omgangstider til online-stillingen.	Çevrimici en iyiler listesine gönderim yapabilmek icin kayitli kullanici olmaniz gerekmektedir.	Vous devez être enregistré pour envoyer vos temps au classement en ligne.	Se tiene que inscribir para presentar los tiempos por vuelta a la clasificación en línea.	Da bi uvrstil čas na lestvico se moraš registrirati.
CMESSAGE_LICENSEDESC1	Please enter your driver name	Please enter your driver name	Please enter your driver name	Please enter your driver name	Please enter your driver name	Please enter your driver name	Please enter your driver name	Please enter your driver name	Lütfen $text için lisans anahtarini girin.	Please enter your driver name	Please enter your driver name	Please enter your driver name
CMESSAGE_LICENSEDESC2	If you have purchased a license key please copy it from your email then press the paste button. To buy a license click the Buy Now button. If you get a message 'This license key is invalid' make sure you are using the same driver name and license key combination that you purchased.	Se hai acquistato una licenza copiala dalla tua mail e premi il pulsante incolla. Per comprare una licenza clicca sul pulsante Compra Ora.	Wenn du eine Seriennummer gekauft hast; kopiere sie bitte aus deiner E-Mail und füge sie hier ein. Klicke auf den Kaufen-Button; um eine Lizenz zu kaufen.	Als je een license key gekocht heb; kopieer en plak die dan vanuit je email. Om een license key te kopen klik je op buy now.	Jos olet ostanut lisenssiavaimen; ole hyvä ja kopioi se sähköpostistasi; paina sitten liitä-nappia. Ostaaksesi lisenssin klikkaa Osta nyt-nappia.	If you have purchased a license key please copy it from your email then press the paste button. To buy a license click the Buy Now button. If you get a message 'This license key is invalid' then try holding the LEFT CONTROL key down when you click Continue.	Jeśli zakupiłeś klucz rejestracyjny skopiuj go z wiadomości e-mailowej po czym wciśnij przycisk Wklej. Aby kupić klucz wciśnij Kup Teraz.	Hvis du har købt en licensnøgle kan du kopiere den fra din e-mail og klikke på indsæt-knappen. For at købe en licens kan du klikke på Køb Nu-knappen.	"""Eger bir lisans anahtari satin aldiysaniz, size gönderilen e-postadan buraya kopyalayip yapistirin. Lisans satin almak icin Simdi Satin Al dügmesini tiklatin. Eger 'Bu lisans anahtari gecersiz.'  uyarisini alirsaniz Sol Ctrl düğmesini basili tutarak Devam tusuna basmayi deneyin."""	Si vous avez acheté une licence copiez la à partir de votre email et appuyez sur le bouton Coller. Pour acheter une licence cliquez sur le bouton Acheter	Si usted ha comprado una clave de licencia; por favor copia de su correo electrónico a continuación; pulse el botón pegar. Para comprar una licencia; haga clic en el botón Comprar ahora.	Če si že kupil licenčno kodo jo kopiraj iz elektronskega sporočila in kilkni gumb Prilepi. Če želiš kupiti igro klikni na gumb Kupi zdaj.
CMESSAGE_NEWCONTRACT	Based on your performance in season $season you have been offered contracts by the following teams.	In base alle tue prestazioni nella stagione $season ti hanno offerto i seguenti contratti i seguenti team.	Aufgrund deiner Leistungen in der Saison $season werden dir Verträge von folgenden Teams angeboten.	Dankzij je prestaties in seizoen $season hebben volgende teams je een contract aangeboden.	Suoritustesi kaudella $season perusteella olet saanut tarjoukusia seuraavilta talleilta.	Baseado em sua performance na temporada $season as seguintes equipes lhe ofereceram um contrato.	Wziąwszy pod uwagę Twoje wyniki w sezonie $season zaoferowano Ci następujące kontrakty.	Baseret på dine præstationer i sæson $season er du blevet tilbudt en kontrakt fra følgende hold.	$season sezonundaki performansiniza bagli olarak asagidaki takimlardan sözlesme teklifi aldiniz.	Au vu de vos performances lors de la saison $season vous avez reçu des offres de contrat des équipes suivantes.	Basado en su desempeño en la temporada $temporada le han ofrecido contratos los siguientes equipos.	V skladu s tvojimi uspehi v sezoni $season so ti ponudile pogodbe naslednje ekipe.
CMESSAGE_NEWSPONSOR	Due to your popularity with the fans you have been offered a $item sponsorship! You receive $amount.	Grazie alla tua popolarità con i tifosi ti è stato offerto un contratto di	Dank deiner Popularität bei den Fans wird dir ein $item Sponsoring angeboten! Du erhältst $amount.	Dankzij je populariteit bij de fans; werd je een $item sponsordeal aangeboden! Je krijgt hiervoor $amount.	Fanien suosioon perustuen olet saanut tarjouksen $item sponsorisopimuksesta! Saat $amount.	Due to your popularity with the fans you have been offered a $item sponsorship! You receive $amount.	 Z racji Twej dużej popularności wśród fanów $item oferuje Ci sponsoring. Otrzymujesz $amount.	På grund af dine popularitet hos fansene er du blevet tilbudt et $item sponsorat! Du modtager $amount.	Popüler oldugunuz icin hayranlariniz size $item sponsorlugu ayarladi! $amount miktar para alacaksiniz.	Au vu de votre popularité auprès des fans vous avez reçu une offre de sponsoring de $item! Vous recevez $amount.;;;	Debido a su popularidad con los fans le han ofrecido un patrocinio de $item! Usted recibirá $amount.	Priljubljenost pri navijačih ti je prinesla sponzorsko pogodbo za $item. Prejemeš $amount evrov.
CMESSAGE_NOFUNDS	You don't have enough cash!	Non hai abbastanza soldi!	Du hast nicht genug Geld!	Je hebt niet genoeg geld!	Sinulla ei ole tarpeeksi rahaa.	Você não tem dinheiro suficiente!;;;	Masz za mało pieniędzy!	Du har ikke penge nok!	Yeterli paraniz yok!	Vous n'avez pas assez d'argent!;;;	Usted no tiene suficiente dinero!	Nimaš dovolj denarja!
CMESSAGE_NOHELP	There is no help file for this page.	Non c'è un file d'aiuto per questa pagina.	Kein Hilfetext für diese Seite vorhanden.	Er bestaat geen helpbestand voor deze pagina!	Tälle sivulle ei ole apua-osiota.	Não há página de ajuda para esta seção.;;;	Dla tej podstrony nie ma strony z pomocą.	Der er ingen hjælpefil for denne side.	Bu sayfa icin yardim dosyasi yok.	Il n'y a pas d'aide pour cette page.;;;	No hay archivo de ayuda de esta página.	Za to stran pomoč ne obstaja. 
CMESSAGE_NOTIME	You don't have time to do this today.	Non hai tempo per fare questo oggi.	Du hast heute keine Zeit mehr; um dies zu tun.	Je hebt geen tijd meer om dit vandaag nog te doen!	Sinulla ei ole tänään aikaa tehdä tätä.	Você não tem tempo para fazer isto hoje.;;;	Dzisiaj już nie masz na to czasu.	Du har ikke tid til dette i dag.	Bunu yapabilmek icin yeterli vaktiniz yok.	Vous n'avez pas le temps de faire cela aujourd'hui.;;;	Usted no tiene tiempo para hacer esto el día de hoy.	Danes nimaš več časa za to.
CMESSAGE_OVERWRITE	The  file '$item' already exists. Do you want to overwrite it?	Il file '$item1' esiste già. Vuoi sovrascriverlo?	Die Datei '$item' existiert bereits. Möchtest du sie überschreiben?	Het bestand '$item' bestaat al. Wil je het overschrijven?	Tiedosto '$item' on jo olemassa. Haluatko korvata sen?	O arquivo '$item' já existe. Quer sobrescreve-lo?;;;	Plik '$item' już istnieje. Nadpisać go?	Filen '$item' eksisterer allerede. Vil du overskrive den?	$file' dosyasi zaten mevcut. Üzerine yazmak istiyor musunuz?	The  file '$item' already exists. Do you want to overwrite it?	El archivo '$item' ya existe. ¿Desea sobreescribirlo?	Datoteka '$item' že obstaja. Jo želiš prepisati?
CMESSAGE_PRIZEMONEY	You have won $item.	Hai vinto $item.	Du hast $item gewonnen.	Je hebt $item gewonnen.	Olet voittanun $item.	Você ganhou $item.;;;	Wygrałeś $item.	Du har vundet $item.	$itemi kazandiniz.	Vous avez gagné $item.;;;	Usted ha ganado $item.	Prejel si $item evrov nagrade.
CMESSAGE_QUIT	Do you want to quit this game?	Vuoi uscire dalla partita?	Möchtest du dieses Spiel beenden?	Wil je het spel verlaten?	Haluatko lopettaa tämän pelin?	Você quer sair do jogo?;;;	Chcesz wyjść z gry?	Vil du afslutte spillet?	Bu oyundan çikmak istiyor musunuz?	Voulez-vous quitter ce jeu ?;;;	¿Quieres terminar este juego?	Želiš končati igro?
CMESSAGE_QUITEDITOR	Do you want to quit the editor?	Vuoi uscire dall'editor?	Möchtest du den Editor verlassen?	Wil je de editor verlaten?	Haluatko lopettaa editoinnin?	Você quer sair do editor?;;;	Chcesz wyjść z edytora?	Vil du afslutte editoren?	Düzenleyiciden çikmak istiyor musunuz?	Voulez-vous quitter l'éditeur?;;;	¿Quieres salir del editor?	Želiš zapreti urejevalnik?
CMESSAGE_QUITPRACTICE	Do you want to quit this practice session?	Vuoi uscire dalla sessione di pratica?	Möchtest du diese Übungsfahrt beenden?	Wil je deze oefensessie verlaten?	Haluatko lopettaa tämän harjoitussession?	Você quer sair da seção de treinamento?;;;	Chcesz wyjść z treningu?	Vil du afslutte træningssessionen?	Bu alistirma turundan çikmak istiyor musunuz?	Voulez-vous quitter cette séance d'essais?;;;	¿Quieres terminar esta sesion de período práctica?	Želiš končati trening? 
CMESSAGE_QUITQUALIFYING	Do you want to skip to the end of this qualifying session?	Vuoi saltare alla fine della sessione di qualifica?	Möchtest du zum Ende dieser Qualifikation springen?	Wil je de tijd doorspelen naar het einde van de kwalificatiesessie?	Haluatko ohittaa aika-ajon kunnes se on loppu?	Você quer avançar até o final da seção de qualificação?;;;	Chcesz przeskoczyć do końca tej sesji kwalifikacyjnej?	Vil du afslutte kvalifikationen?	Bu siralama sezonunun sonuna ilerlemek istiyor musunuz?	Voulez-vous passer la fin de cette séance de qualification?;;;	¿Quiere pasar a la final de este período de sesiones de calificación?	Želiš skočiti na konec kvalifikacij?
CMESSAGE_QUITRACE	Do you want to quit this race?	Vuoi uscire dalla gara?	Möchtest du dieses Rennen beenden?	Wil je deze race verlaten?	Haluatko lopettaa tämän kisan?	Você quer sair da corrida?;;;	Chcesz opuścić wyścig?	Vil du afslutte løbet?	Bu yaristan çikmak istiyor musnuz?	Voulez-vous quitter cette course?;;;	¿Quieres dejar esta carrera?	Želiš končati dirko?
CMESSAGE_RETIREMENT	$item1 is retiring from racing after $numseasons seasons in GP. During his career he achieved $championships championships; $wins wins; $poles poles and $podiums podiums amassing a total of $points points! Well done $item1; and thanks for all the thrilling racing!	$item si è ritirato dalle gare dopo $numseasons stagioni. Durante la sua carriera ha conquistato $championships titoli; $wins vittorie; $poles pole e $podiums podii accumulando un totale di $points punti! Ben fatto $item1; e grazie per tutti i momenti grandiosi!	$item1 beendet seine Karriere nach $numseasons Saisons im Rennzirkus. Während seiner Karriere erreichte er $championships Meisterschaften; $wins Siege; $poles Poles und $podiums Podiumsplätze; wobei er insgesamt $points Punkte erzielte! Gut gemacht $item1; und danke für all die spannenden Rennen!	$item1 stopt met racen na $numseasons seizoenen in de GP. Tijdens zijn carrière won hij $championships kampioenschappen; $wins zeges; $poles poleposities en $podiums ereplaatsen totaal goed voor $points punten! Fantastische prestatie; $item1; en bedankt voor de vele spannende races!	$item1 jää eläkkeelle $numseasons kausien jälkeen GP'ssä. Uransa aikana hän saavutti $chanpionships mestaruutta; $wins voittoa; $poles paalupaikkoja ja $podiums palkintokorokesijoja kooten yhteensä $points pistettä! Hyvin tehty $item1; ja kiitos kaikistä jännittävistä kisoista!	$item1 is retiring from racing after $numseasons seasons in GP. During his career he achieved $championships championships; $wins wins; $poles poles and $podiums podiums amassing a total of $points points! Well done $item1; and thanks for all the thrilling racing!	$item1 kończy z wyścigami po $numseasons sezonach w GP. W czasie swej kariery wygrał mistrzostwa $championships razy: zanotował $wins wygranych: $poels pole position i stawał na podium $podiums razy. Zdobył łącznie $points punktów! Dobra robota $item1 i dzięki za wspaniałe emocje jakich nam dostarczałeś!	$item1 trækker sig tilbage efter $numseasons sæsoner i GP. Igennem hans karriere vandt han $championships mesterskaber $wins sejre og $poles pole positioner $podiums podieplaceringer og $points point! Godt gået $Item1 og mange tak for dine mange præstationer!	"""$item1, $numseasons sezon Grand Prixte yaristiktan sonra emekli oluyor. Kariyeri süresince, $championships sampiyonasini; $wins kazanimlarini; $poles kisa yarislarini ve $podiums podyumlarını toplamda tam $points puan alarak tamamladi! Tebrikler $item1; ve muhtesem yarislarin için tesekkürler!"""	$item1 part à la retraite après $numseasons saisons en GP. Durant sa carrière il a terminé $championships championnats.; $wins wins; $poles poles and $podiums podiums amassing a total of $points points! Well done $item1; and thanks for all the thrilling racing!	$item1 se jubila del automovilismo después de $numseasons temporadas en GP. Durante su carrera obtuvo $championships campeonatos; $wins victorias y $poles poles $podiums podios acumulando un total de $points puntos! $Item1 bien hecho; y gracias por todas las emocionantes carreras!	$item1 se je upokojil po $numseasons sezonah Formule 1. V karieri je zbral $championships naslovov prvaka $wins zmag  $poles prvih štartnih mest and $podiums uvrstitev na stopničke ter skupaj zbral $points točk! Iskrene čestitke $item1 - in hvala za razburljive dirke!
CMESSAGE_SHOP_SELFFRIEND	Do you want to buy this for yourself or for a friend?	Vuoi comprare questo per te o per un tuo amico?	Möchtest du dies für dich selbst oder für einen Freund kaufen?	Wil je dit voor jezelf kopen of voor een vriend?	Halutako ostaa tämän itsellesi vai ystävällesi?	Você quer comprar isso para você ou para um amigo?;;;	Chcesz kupić to dla siebie czy dla przyjaciela?	Vil du købe dette for dig selv eller en ven?	Bunu arkadasiniz için mi yoksa kendiniz için mi satin almak istiyorsunuz?	Voulez-vous acheter cela pour vous ou pour un ami?;;;	¿Quieres comprar esto para usted mismo o para un amigo?	Želiš to kupiti zase ali za prijatelja?
CMESSAGE_VERSIONOK	Your version of New Star GP is up to date.	La tua versione di New Star GP è aggiornata.	Deine Version von New Star Grand Prix ist aktuell.	Je versie van New Star Soccer 4 is de meest recente.	Versiosi New Star Soccer 4:stä on päivitettynä.	Sua versão de New Star GP está atualizada.;;;	Masz aktualną wersję gry.	Din version af New Star GP er fuldt opdateret.	New Star Grand Prix sürümünüz güncel.	Votre version de NSGP est mise à jour.;;;	Su versión de la New Star Soccer 4 al día.	Tvoja različica New Star GP je posodobljena.
CMESSAGE_VERSIONUPDATE	There is a new version of New Star GP available. Do you wish to download it now?	C'è una nuova versione di NSGP disponibile. Vuoi scaricarla?	Es ist eine neue Version von NSGP verfügbar. Möchtest du sie nun herunterladen?	Er is een nieuwe versie van New Star Soccer 4 beschikbaar. Wil je die downloaden?	NSS4:än on uusi päivitys saatavilla. Haluaisitko ladata sen nyt?	Há uma versão nova de NSGP. Gostaria de baixa-la agora?;;;	jest nowa wersja gry. Chcesz ją ściągnąć?	Der er en ny version af NSGP. Vil du downloade den nu?	New Star Grand Prix'in yeni bir sürümü mevcut. Simdi indirmek ister misiniz?	Il y a une nouvelle mise à jour disponible pour NSGP. Voulez-vous la télécharger ?;;;	Hay una nueva versión de NSS4 disponible. ¿Desea descargarla ahora?	Na voljo je nova različica NSGP. Jo želiš naložiti zdaj?
CMESSAGE_WELCOME	Welcome to New Star GP. Each week you have a few days to practice the current track. Qualifying takes place on Saturday which determines the starting positions for the race which is on Sunday. There are 17 races in a season. The green button on the nav bar advances the days.	Benvenuto a New Star GP. Ogni settimana hai alcuni giorni per fare pratica sul circuito della gara della domenica. Le qualificazioni si terranno il sabato con le quali si determinerà la griglia di partenza per la gara della domenica. Ci sono 17 gare in stagione.	Willkommen bei New Star Grand Prix. Jede Woche hast du einige Tage Zeit; um auf der aktuellen Strecke zu üben. Die Qualifikation findet am Samstag statt und bestimmt die Startaufstellung für das Rennen am Sonntag. Eine Saison besteht aus 17 Rennen.	Welkom bij New Star GP. Iedere week kun je enkele dagen oefenen op het circuit. Kwalificeren doe je op zaterdag en de eigenlijke race gaat door op zondag. Er zijn 17 races per seizoen.	Tervetuloa New Star GP'in. Joka viikko sinulla on muutama päivä aikaa harjoitella sen aikaista rataa. Aika-ajot ovat lauantaina; missä määritetään aloitussijainnit sunnuntain varsinaiseen kisaan. Kaudessa on 17 kisaa.	Welcome to New Star GP. Each week you have a few days to practice the current track. Qualifying takes place on Saturday which determines the starting positions for the race which is on Sunday. There are 17 races in a season.	Witamy w New Star GP. W ciągu każdego tygodnia będziesz miał kilka dni na poćwiczenie jazdy na torze niedzielnego wyścigu. Kwalifikacje mają miejsce w soboty i od nich zależy pozycja startowa podczas wyścigu. W ciągu sezonu będziesz ścigać się 17 razy.	Vekommen til New Star GP. Hver uge har du nogle få dage til at træne til det kommende løb. Kvalifikationen løber af stablen hver lørdag som bestemmer startpositionerne for løbet om søndagen. Der er 17 løb i en sæson.	"""New Star Grand Prix'e hosgeldiniz. Her hafta, geçerli pistte alistirma yapmak icin bir kaç günlük süreniz olacak. Siralamalar Cumartesi günleri yapilir, bu yarislarin sonuçlari Pazar günkü yarislara kimin hangi sirada baslayacagini belirlemede kullanilir. Bir sezonda 17 yaris vardir. Gezinti çubugundaki yesil dügme günleri ilerletir."""	 Bienvenue à New Star GP. Chaque semaine vous aurez quelques jours pour vous entraîner librement sur le circuit. Les qualifications ont lieu le samedi et déterminent les positions de départ pour la course du dimanche. Il y a 17 courses par saison.;;;	Bienvenidos a New Star GP. Cada semana; usted tiene unos días para la práctica de la pista. La calificación se lleva a cabo el sábado; que determina las posiciones de partida para la carrera que es el domingo. Hay 17 carreras en una temporada.	Dobrodošel v New Star GP. Vsak teden imaš na voljo nekaj dni za trening na trenutni stezi. Kvalifikacije v soboto določijo štartna mesta za dirko v nedeljo. V sezoni je 17 dirk.
Congratulations on a wonderful career!	Congratulations on a wonderful career!	Congratulazioni per una grandiosa carriera!	Gratulation zu einer grandiosen Karriere!	Gefeliciteerd met je fantastische carrière!	Onnittelut mahtavalle uralle!	Parabéns por uma maravilhosa carreira!	Gratulujemy cudownej kariery!	Tillykke med en fantastisk karriere!	Harika kariyeriniz için tebrikler!	 Fécilitatons pour votre merveilleuse carrière!	Felicitaciones por una maravillosa carrera profesional!	Čestitke za izjemno kariero!
Congratulations!	Congratulations!	Congratulazioni!	Herzlichen Glückwunsch!	Gefeliciteerd!	Onnittelut!	Parabéns!	Gratulacje!	Tillykke!	Tebrikler!	 Félicitations!	Felicidades!	Čestitke!
Continue	Continue	Continua	Fortfahren	Continue	Jatka	Continuar	Dalej	Fortsæt	Devam Et	Continuer	Continuar	Nadaljuj
Continue	Continue	Continua	Fortfahren	Continue	Jatka	Continuar	Dalej	Fortsæt	Devam Et	Continuer	Continuar	Nadaljuj
Continue Editing	Continue Editing	Continua con l'Editing	Editieren fortsetzen	Continue Editing	Jatka editoimista	Continuar Editando	Kontynuuj edytowanie	Fortsæt med at ændre	Düzenlemeye Devam Et	Continuer l'édition	Continuar Editando	Nadaljuj z urejanjem
Controls	Controls	Controlli	Steuerung	Controls	Kontrollit	Controles	Klawisze	Kontrol	Kontroller	Contrôles	Controles	Ukazi
Cottage	Cottage	Cottage	Ferienhaus	Huisje	Mökki	Cabana	Chatka	Sommerhus	Kir Evi	Cottage	Cabaña	Koča
Country House	Country House	Casa di Campagna	Landhaus	Plattelandshuis	Maatila-asunto	Casa de Campo	Doma na wsi	Landhus	Köy Evi	Maison de campagne	Country House	Podeželska hiša
Created by Simon Read	Created by Simon Read	Creato da Simon Read	Created by Simon Read	Gecreëerd door Simon Read	Luonut Simon Read	Criado por Simon Read	Stworzone przez Simona Reada	Lavet af Simon Read	Simon Read tarafindan yapilmistir.	Créé par Simon Read	Creada por Simon Read	Ustvaril Simon Read
